YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
96-97;Los Angeles Clippers*;82;243.0;36.5;81.7;44.6;5.8;16.3;35.4;30.7;65.3;46.9;18.5;25.3;73.1;13.3;27.3;40.7;20.3;8.9;5.4;16.0;24.0;97.2;19;25.5;0.43902439;0.56097561;0.414634146;0.585365854;-2.35;-0.31;105.1;107.6;91.3;310;200;52.4;48.2;14.7;30.8;227;49.9;15.5;68.1;269;Los Angeles Memorial Sports Arena;232.895;0
18-19;Los Angeles Lakers;82;241.2;42.6;90.5;47;10.3;31.0;33.3;32.2;59.6;54.1;16.3;23.3;69.9;10.2;36.4;46.6;25.6;7.5;5.4;15.7;20.7;111.8;23;26.2;0.451219512;0.548780488;0.451219512;0.548780488;-1.72;0.39;107.8;109.5;103.2;257;342;55.4;52.7;13.4;22.2;180;51.6;12.2;76.4;192;STAPLES Center;778.877;0
17-18;Los Angeles Lakers;82;242.7;40.7;88.4;46.1;10.0;29.1;34.5;30.7;59.3;51.7;16.6;23.3;71.4;10.7;35.7;46.4;23.8;7.7;4.7;15.8;21.2;108.1;21;23.7;0.426829268;0.573170732;0.451219512;0.548780488;-1.55;0.11;106.5;108.0;100.3;264;329;54.8;51.7;13.8;23.6;188;51.4;12.5;77.7;190;STAPLES Center;776.327;0
04-05;Los Angeles Lakers;82;241.2;35.3;80.8;43.7;7.9;22.1;35.5;27.5;58.7;46.7;20.3;26.1;77.7;12.5;30.6;43.2;20.4;6.2;4.2;14.3;21.9;98.7;25;26.0;0.414634146;0.585365854;0.402439024;0.597560976;-2.96;0.64;108.1;111.4;90.8;322;273;53.5;48.5;13.4;29.5;251;49.3;11.0;71.1;218;STAPLES Center;770.494;0
21-22;Los Angeles Lakers;82;243.7;41.6;88.8;46.9;12;34.5;34.7;29.7;54.3;54.6;16.8;23;73.2;9.5;34.5;44;24;7.6;5.2;14.5;20.2;112.1;22;30.2;0.402439024;0.597560976;0.402439024;0.597560976;-3.05;-0.03;110.3;113.3;100.1;259;388;56.7;53.7;12.8;21.1;190;54;12.2;75.8;192;Crypto.com Arena;764,631;0
93-94;Los Angeles Lakers;82;240.9;40.1;89.2;45;2.9;9.8;30;37.2;79.4;46.8;17.2;24.0;71.7;15.4;26.9;42.2;24.2;9.2;5.6;14.6;22.9;100.4;19;26.5;0.402439024;0.597560976;0.353658537;0.646341463;-4.29;0.36;104.8;109.3;95.5;269;110;50.3;46.6;12.8;33.2;193;49.2;14.3;63.2;240;Great Western Forum;545.915;0
13-14;Los Angeles Lakers;82;240.3;38.3;85.1;45;9.4;24.8;38.1;28.8;60.3;47.8;17.0;22.4;75.7;9.1;32.0;41.0;24.5;7.5;5.4;15.1;19.8;103.0;27;26.8;0.329268293;0.670731707;0.304878049;0.695121951;-6.29;0.96;104.2;110.6;98.7;263;291;54.2;50.5;13.7;20.2;199;51.3;12.4;71.0;192;STAPLES Center;771.974;0
16-17;Los Angeles Lakers;82;240.3;39.3;87.4;45;8.9;25.7;34.6;30.4;61.6;49.3;17.0;22.6;75.4;11.4;32.1;43.5;20.9;8.2;3.9;15.2;20.7;104.6;30;25.1;0.317073171;0.682926829;0.292682927;0.707317073;-6.88;0.58;106.0;113.0;98.5;259;295;53.7;50.1;13.5;25.0;195;54.2;13.0;75.8;213;STAPLES Center;776.917;0
14-15;Los Angeles Lakers;82;243.0;37.2;85.6;43.5;6.5;18.9;34.4;30.8;66.8;46.1;17.5;23.6;74.1;11.6;32.3;43.9;20.9;7.0;4.5;13.2;21.2;98.5;27;27.0;0.256097561;0.743902439;0.280487805;0.719512195;-6.84;0.67;103.4;110.6;94.0;276;220;51.3;47.3;12.1;25.4;204;51.8;12.1;76.3;231;STAPLES Center;768.244;0
15-16;Los Angeles Lakers;82;240.6;35.1;84.8;41.4;7.8;24.6;31.7;27.3;60.2;45.4;19.3;24.7;78.1;10.7;32.3;43.0;18.0;7.2;4.1;13.7;20.3;97.3;29;26.5;0.207317073;0.792682927;0.207317073;0.792682927;-9.56;0.64;101.6;111.6;95.6;292;290;50.9;46;12.5;23.1;228;52.3;11.6;74.7;202;STAPLES Center;778.877;0
20-21;Milwaukee Bucks*;72;240.7;44.7;91.8;48.7;14.4;37.1;38.9;30.3;54.7;55.4;16.2;21.4;76;10.3;37.8;48.1;25.5;8.1;4.6;13.8;17.3;120.1;4;28.1;0.638888889;0.361111111;0.666666667;0.333333333;5.89;-0.32;117.2;111.4;102.2;233;404;59.3;56.6;12.0;23.3;177;53.6;11.5;79.7;157;Fiserv Forum;64.78;1
79-80;Los Angeles Lakers*;82;242.4;47.5;89.9;52.9;0.2;1.2;20;47.3;88.6;53.4;19.8;25.5;77.5;13.2;32.4;45.6;29.4;9.4;6.7;20.0;21.8;115.1;2;26.2;0.731707317;0.268292683;0.670731707;0.329268293;5.90;-0.51;109.5;103.9;104.1;284;14;56.9;53;16.5;32.6;220;47.5;14.0;66.9;181;The Forum;582.882;1
80-81;Boston Celtics*;82;241.2;43.7;86.6;50.4;0.8;2.9;27;42.9;83.6;51.3;21.7;28.9;75.2;14.1;29.6;43.6;26.9;8.3;7.2;19.2;24.3;109.9;3;27.0;0.756097561;0.243902439;0.682926829;0.317073171;5.88;0.17;108.4;102.6;100.8;334;34;55.3;50.9;16.2;34.7;251;46.4;15.1;67.0;240;Boston Garden;595.454;1
89-90;Los Angeles Lakers*;82;242.1;41.9;85.5;49;3.8;10.3;36.7;38.1;75.2;50.7;23.2;29.5;78.7;13.4;30.0;43.4;27.2;8.0;5.4;15.0;21.2;110.7;1;28.9;0.768292683;0.231707317;0.707317073;0.292682927;6.78;-0.04;114.0;107.0;96.3;345;120;56.2;51.2;13.2;32.8;271;47.9;12.8;68.5;219;Great Western Forum;712.498;0
81-82;Los Angeles Lakers*;82;242.1;47.8;92.5;51.7;0.2;1.1;13.8;47.6;91.4;52.1;18.9;26.4;71.7;15.3;30.5;45.9;28.7;10.3;6.3;17.9;24.4;114.6;4;26.8;0.695121951;0.304878049;0.646341463;0.353658537;4.87;-0.50;110.2;105.5;103.1;285;12;55.1;51.8;14.7;35.8;204;49.3;14.8;66.3;187;The Forum;605.236;1
85-86;Los Angeles Lakers*;82;241.8;46.8;89.5;52.2;1.7;5.0;33.7;45.1;84.6;53.3;22.1;28.4;77.8;13.4;31.2;44.6;29.7;8.5;5.1;17.9;24.8;117.3;3;28.1;0.756097561;0.243902439;0.719512195;0.280487805;7.74;-0.91;113.3;105.8;102.7;317;56;57.5;53.2;14.9;33.1;247;48.4;13.5;69.8;239;The Forum;691.071;0
82-83;Philadelphia 76ers*;82;241.8;43.9;88.0;49.9;0.3;1.3;22.9;43.6;86.6;50.3;24.0;32.3;74.2;16.3;31.7;47.9;24.6;9.9;7.0;19.8;24.9;112.1;1;26.7;0.792682927;0.207317073;0.731707317;0.268292683;7.67;-0.14;108.3;100.9;102.7;367;15;54.9;50.1;16.3;37.1;273;46.4;15.8;66.2;217;The Spectrum;612.203;1
97-98;Los Angeles Lakers*;82;241.8;38.4;79.7;48.1;6.1;17.3;35.1;32.3;62.5;51.7;22.7;33.5;67.9;13.2;30.1;43.3;24.5;9.0;6.8;15.3;22.7;105.5;1;25.8;0.743902439;0.256097561;0.743902439;0.256097561;7.74;-0.87;111.9;103.7;93.6;420;216;55.9;51.9;14.0;31.6;285;46.7;14.1;68.8;245;Great Western Forum;676.101;0
83-84;Boston Celtics*;82;243.4;44.1;88.2;50;0.7;2.8;24;43.4;85.4;50.8;23.3;29.4;79.2;14.1;31.0;45.1;25.9;8.2;5.2;17.3;23.8;112.1;1;28.0;0.756097561;0.243902439;0.695121951;0.304878049;6.56;-0.14;110.9;104.4;99.7;333;32;55.4;50.4;14.6;34.2;264;47.5;13.8;69.7;225;Boston Garden;606.857;1
84-85;Los Angeles Lakers*;82;240.9;48.2;88.5;54.5;1.1;3.6;30.5;47.1;84.9;55.5;20.8;27.2;76.3;13.0;31.1;44.1;31.4;8.5;5.9;18.7;23.5;118.2;1;27.4;0.756097561;0.243902439;0.707317073;0.292682927;7.35;-0.87;114.1;107.0;103.2;308;41;58.9;55.1;15.7;33.8;235;48.5;13.7;67.1;220;The Forum;610.361;1
85-86;Boston Celtics*;82;242.1;45.3;89.2;50.8;1.7;4.8;35.1;43.7;84.4;51.7;21.8;27.4;79.4;12.9;33.6;46.4;29.1;7.8;6.2;16.6;21.4;114.1;1;29.3;0.817073171;0.182926829;0.768292683;0.231707317;9.41;-0.36;111.8;102.6;101.2;307;54;56.4;51.8;14.1;31.3;244;46.6;13.0;71.7;216;Boston Garden;610.571;1
82-83;Los Angeles Lakers*;82;240.6;48.3;91.6;52.8;0.1;1.2;10.4;48.2;90.4;53.3;18.2;24.8;73.6;15.1;29.7;44.7;30.7;10.3;5.8;19.3;23.5;115.0;2;26.9;0.707317073;0.292682927;0.670731707;0.329268293;5.55;-0.49;110.5;105.2;103.8;270;13;56.1;52.8;15.9;36.3;199;49.4;15.5;65.3;191;The Forum;598.739;0
90-91;Los Angeles Lakers*;82;241.8;40.8;84.3;48.4;2.8;9.1;30.4;38.0;75.2;50.5;22.0;27.6;79.8;13.1;29.8;42.9;25.5;7.8;4.7;14.7;18.6;106.3;3;28.4;0.707317073;0.292682927;0.719512195;0.280487805;6.74;-0.01;112.1;105.0;94.1;327;108;55.1;50;13.2;33.0;261;47.4;12.8;68.3;176;Great Western Forum;682.024;0
07-08;Los Angeles Lakers*;82;241.2;39.6;83.1;47.6;8.1;21.4;37.8;31.5;61.8;51;21.3;27.7;76.9;11.0;33.2;44.1;24.4;8.0;5.3;14.1;20.6;108.6;3;26.7;0.695121951;0.304878049;0.719512195;0.280487805;7.26;0.09;113.0;105.5;95.6;333;257;57;52.5;12.9;26.3;256;48.5;12.9;73.4;214;STAPLES Center;778.877;0
86-87;Los Angeles Lakers*;82;240.6;45.6;88.4;51.6;2.0;5.5;36.7;43.6;82.9;52.6;24.5;31.1;78.9;13.7;30.7;44.4;29.6;8.9;5.9;16.6;22.6;117.8;1;27.8;0.792682927;0.207317073;0.756097561;0.243902439;9.30;-0.99;115.6;106.5;101.6;352;62;57.7;52.8;14.0;34.1;278;47.6;13.8;66.3;230;The Forum;681.207;1
10-11;Los Angeles Lakers*;82;241.8;38.1;82.4;46.3;6.4;18.1;35.2;31.8;64.3;49.4;18.8;24.1;77.9;12.1;31.9;44.0;22.0;7.3;5.1;13.1;19.0;101.5;3;30.2;0.695121951;0.304878049;0.707317073;0.292682927;6.11;-0.10;111.0;104.3;90.7;293;220;54.5;50.2;12.3;29.2;228;47.7;12.8;72.3;181;STAPLES Center;778.877;0
87-88;Los Angeles Lakers*;82;241.5;43.6;86.3;50.5;1.7;5.8;29.7;41.9;80.5;52;23.9;30.2;78.9;13.1;30.4;43.5;28.6;8.2;4.9;16.1;20.9;112.8;2;28.9;0.756097561;0.243902439;0.682926829;0.317073171;5.84;-1.03;113.1;107.3;99.1;350;68;56.6;51.5;13.9;32.3;276;48.4;13.0;67.9;206;The Forum;708.477;1
88-89;Los Angeles Lakers*;82;241.5;43.7;87.1;50.2;2.8;8.1;34;40.9;79.0;51.8;24.5;30.6;80.2;13.3;31.9;45.2;27.8;8.8;5.1;16.4;20.4;114.7;3;29.5;0.695121951;0.304878049;0.707317073;0.292682927;7.17;-0.79;113.8;106.7;100.1;351;93;57;51.8;14.0;33.0;282;48.2;13.0;68.9;205;Great Western Forum;717.349;0
88-89;Detroit Pistons*;82;241.8;41.4;83.9;49.4;1.5;4.9;30;39.9;79.0;50.5;22.3;29.0;76.9;14.1;31.0;45.1;24.7;6.4;5.0;16.3;23.6;106.6;4;28.7;0.768292683;0.231707317;0.682926829;0.317073171;5.80;0.44;110.8;104.7;95.5;346;58;55.1;50.2;14.4;34.5;266;45.8;13.2;69.2;260;The Palace of Auburn Hills;879.405;1
03-04;Los Angeles Lakers*;82;242.1;36.9;81.4;45.4;4.5;13.6;32.7;32.5;67.8;47.9;19.9;28.7;69.3;12.2;30.9;43.1;23.8;8.3;4.6;13.8;21.1;98.2;7;29.8;0.682926829;0.317073171;0.634146341;0.365853659;3.90;0.45;105.5;101.3;92.3;352;167;52.2;48.1;12.8;28.1;244;47.1;14.3;73.3;222;STAPLES Center;777.757;0
96-97;Los Angeles Lakers*;82;243.0;36.8;81.0;45.4;6.7;18.3;36.7;30.1;62.7;48;19.7;28.4;69.2;13.3;29.4;42.8;22.5;9.0;7.0;14.9;22.2;100.0;8;26.5;0.682926829;0.317073171;0.646341463;0.353658537;4.27;-0.61;108.3;103.7;91.1;351;226;53.5;49.6;13.7;31.6;243;47.8;15.1;68.5;231;Great Western Forum;697.159;0
80-81;Los Angeles Lakers*;82;241.5;46.1;90.0;51.2;0.2;1.1;18.1;45.9;88.9;51.6;18.8;25.8;72.9;14.2;30.4;44.6;28.8;9.9;6.7;19.0;23.8;111.2;5;27.0;0.658536585;0.341463415;0.62195122;0.37804878;3.84;-0.57;107.6;103.9;102.7;286;13;54.8;51.3;15.8;33.9;209;46.8;14.6;64.4;208;The Forum;538.865;0
83-84;Los Angeles Lakers*;82;241.2;47.0;88.4;53.2;0.7;2.8;25.7;46.3;85.7;54;20.9;27.7;75.4;13.4;30.5;43.8;29.9;8.9;5.8;19.2;25.0;115.6;4;27.5;0.658536585;0.341463415;0.609756098;0.390243902;3.76;-0.44;110.9;107.3;103.7;313;31;57.4;53.6;16.1;33.7;236;48.7;14.3;66.6;232;The Forum;622.401;0
95-96;Los Angeles Lakers*;82;240.0;39.2;81.8;48;5.8;16.6;35.1;33.4;65.2;51.2;18.6;25.0;74.6;12.1;28.1;40.2;25.4;8.8;6.3;14.2;20.8;102.9;6;27.1;0.646341463;0.353658537;0.646341463;0.353658537;4.45;-0.24;111.4;106.6;92.4;306;203;55.5;51.5;13.3;30.1;228;49.1;14.9;66.8;205;Great Western Forum;649.634;0
11-12;Los Angeles Lakers*;66;243.4;36.8;80.6;45.7;5.5;16.8;32.6;31.3;63.7;49.1;18.2;24.1;75.6;12.1;34.1;46.2;22.5;5.9;5.3;15.1;16.8;97.3;13;29.7;0.621212121;0.378787879;0.545454545;0.454545455;1.42;0.54;106.0;104.4;90.5;299;209;53.4;49.1;14.2;29.1;226;47.6;10.7;74.8;158;STAPLES Center;626.901;0
98-99;Los Angeles Lakers*;50;241.0;36.8;78.7;46.8;4.8;13.7;35.2;32.0;65.0;49.2;20.5;30.1;68.3;12.4;29.6;42.0;21.9;7.8;5.7;15.1;24.6;99.0;8;27.5;0.62;0.38;0.6;0.4;03.02;-0.35;107.6;104.3;91.6;382;174;53.8;49.8;14.1;30.6;261;46.8;13.3;70.2;267;Great Western Forum;430.007;0
02-03;Los Angeles Lakers*;82;243.0;37.7;83.6;45.1;5.9;16.7;35.6;31.8;66.9;47.5;19.0;26.0;73.4;13.1;31.1;44.3;23.3;7.8;5.7;14.5;22.9;100.4;9;28.1;0.609756098;0.390243902;0.585365854;0.414634146;2.33;0.38;107.2;104.7;92.5;311;199;52.8;48.6;13.3;30.2;228;47.7;13.4;72.7;241;STAPLES Center;777.888;0
94-95;Los Angeles Lakers*;82;242.7;40.0;86.4;46.3;6.4;18.2;35.2;33.6;68.2;49.3;18.6;25.3;73.5;13.7;28.2;42.0;25.3;9.1;6.9;15.2;23.6;105.1;15;25.9;0.585365854;0.414634146;0.487804878;0.512195122;-0.22;0.21;109.1;109.4;95.2;292;210;53.9;50;13.4;31.3;215;50;14.8;64.4;224;Great Western Forum;591.125;0
20-21;Los Angeles Lakers*;72;242.4;40.6;86.1;47.2;11.1;31.2;35.4;29.6;54.8;53.9;17.2;23.3;73.9;9.7;34.6;44.2;24.7;7.8;5.4;15.2;19.1;109.5;8;28.2;0.583333333;0.416666667;0.583333333;0.416666667;2.79;-0.03;109.9;107.1;98.7;271;363;56.9;53.6;13.6;22.5;200;52.6;13.7;79.7;184;STAPLES Center;23.313;0
12-13;Los Angeles Lakers*;82;240.9;37.1;81.0;45.8;8.7;24.6;35.5;28.4;56.4;50.3;19.3;27.9;69.2;11.5;33.3;44.8;22.2;7.0;5.2;15.0;17.9;102.2;11;30.7;0.548780488;0.451219512;0.536585366;0.463414634;1.16;0.32;107.8;106.6;94.4;345;303;54.8;51.2;13.9;27.0;239;49.6;11.9;74.3;163;STAPLES Center;778.877;0
05-06;Los Angeles Lakers*;82;242.1;36.5;80.6;45.3;6.7;19.3;34.9;29.8;61.3;48.6;19.7;26.5;74.5;11.8;30.3;42.2;21.1;7.7;4.3;13.9;23.1;99.4;7;25.1;0.548780488;0.451219512;0.585365854;0.414634146;2.50;0.03;108.4;105.7;90.9;329;240;53.9;49.5;13.1;28.8;245;48.6;13.4;73.6;242;STAPLES Center;774.189;0
91-92;Los Angeles Lakers*;82;241.8;38.8;85.1;45.6;1.5;5.4;26.7;37.4;79.7;46.9;21.3;27.8;76.6;14.1;26.8;40.9;22.0;9.2;4.9;13.3;18.8;100.4;14;28.3;0.524390244;0.475609756;0.463414634;0.536585366;-1.10;0.15;107.7;108.9;92.5;327;64;51.6;46.5;12.0;32.7;250;49.3;13.8;64.0;187;Great Western Forum;699.24;0
06-07;Los Angeles Lakers*;82;244.3;37.8;81.3;46.6;7.4;21.0;35.3;30.4;60.2;50.5;20.2;27.1;74.7;10.8;30.4;41.2;22.6;7.3;5.1;15.5;23.0;103.3;12;25.3;0.512195122;0.487804878;0.5;0.5;-0.07;0.32;108.6;108.6;93.5;333;259;55.4;51.1;14.3;26.1;249;50;13.5;72.3;262;STAPLES Center;778.415;0
92-93;Los Angeles Lakers*;82;241.8;40.4;85.3;47.3;2.3;7.6;29.9;38.1;77.7;49;21.2;28.1;75.6;13.5;27.9;41.4;24.5;9.5;5.3;15.4;21.7;104.2;19;28.0;0.475609756;0.524390244;0.463414634;0.536585366;-1.27;0.06;107.6;108.9;96.2;329;90;53.4;48.6;13.7;31.4;249;50;14.3;66.4;215;Great Western Forum;633.655;0
21-22;Memphis Grizzlies;82;241.2;43.5;94.4;46.1;11.5;32.7;35.3;32;61.7;51.9;17;23.1;73.4;14.1;35;49.2;26;9.8;6.5;13.2;19.8;115.6;4;24;0.682926829;0.317073171;0.670731707;0.329268293;5.68;-0.32;114.6;109;100.3;245;346;55.3;52.2;11.2;30;180;52.3;13.3;77.8;195;FedEx Forum;646,785;0
09-10;Memphis Grizzlies;82;242.7;39.3;83.8;46.9;4.2;12.4;33.7;35.1;71.4;49.2;19.7;26.9;73.3;13.0;30.4;43.5;18.8;7.9;4.9;15.2;20.2;102.5;17;24.1;0.487804878;0.512195122;0.451219512;0.548780488;-1.51;0.13;108.3;109.9;93.6;320;148;53.6;49.4;13.7;31.3;235;52;13.2;73.3;205;FedEx Forum;552.914;0
19-20;Memphis Grizzlies;73;240.7;42.5;90.9;46.8;10.9;31.5;34.7;31.6;59.4;53.2;16.6;21.8;76.3;10.3;36.2;46.5;26.9;7.9;5.5;15.2;21.2;112.6;18;24.1;0.465753425;0.534246575;0.465753425;0.534246575;-1.07;0.16;109.2;110.3;102.8;240;346;56.1;52.8;13.2;23.0;183;52.1;12.7;77.8;217;FedEx Forum;523.297;0
18-19;Memphis Grizzlies;82;242.4;38.0;84.4;45;9.9;28.9;34.2;28.1;55.6;50.5;17.7;23.0;77.2;8.8;33.0;41.8;23.9;8.3;5.5;14.0;22.0;103.5;24;27.7;0.402439024;0.597560976;0.414634146;0.585365854;-2.60;0.51;106.1;108.8;96.6;272;342;54.8;50.8;12.9;20.0;210;52.1;13.9;77.6;232;FedEx Forum;638.332;0
02-03;Memphis Grizzlies;82;243.0;37.2;82.2;45.2;5.7;15.6;36.5;31.5;66.6;47.3;17.4;23.6;73.9;11.5;30.1;41.6;23.1;7.9;6.1;15.4;20.5;97.5;22;24.9;0.341463415;0.658536585;0.390243902;0.609756098;-3.23;0.63;103.9;107.3;92.7;287;190;52.6;48.7;14.2;27.0;212;49.1;13.4;68.7;197;Pyramid Arena;611.322;0
08-09;Memphis Grizzlies;82;241.5;34.9;77.0;45.4;4.9;13.5;36;30.1;63.5;47.4;19.1;25.3;75.6;10.3;28.5;38.8;17.4;7.5;4.7;15.3;21.7;93.9;26;23.3;0.292682927;0.707317073;0.317073171;0.682926829;-5.46;0.24;103.5;109.5;90.1;329;175;53.3;48.6;14.8;25.8;249;51.5;14.1;73.5;247;FedEx Forum;519.895;0
01-02;Memphis Grizzlies;82;241.2;34.8;79.7;43.6;4.1;13.4;30.7;30.7;66.3;46.2;16.3;23.0;70.8;12.0;29.4;41.4;21.8;7.9;6.0;16.4;19.2;89.9;28;25.5;0.280487805;0.719512195;0.243902439;0.756097561;-7.44;0.70;98.2;106.3;91.1;288;168;50.1;46.2;15.4;27.8;204;48.6;13.7;68.0;197;Pyramid Arena;591.03;0
06-07;Memphis Grizzlies;82;243.7;36.6;78.6;46.5;6.1;16.6;36.7;30.5;62.0;49.1;22.4;29.4;76.1;10.6;29.0;39.5;20.5;6.9;5.0;16.4;22.3;101.6;30;26.2;0.268292683;0.731707317;0.329268293;0.670731707;-5.15;0.71;106.9;112.3;93.6;374;211;55.5;50.4;15.2;25.9;285;52.9;14.0;71.1;237;FedEx Forum;600.836;0
07-08;Memphis Grizzlies;82;241.5;37.3;82.2;45.4;7.6;21.7;34.9;29.8;60.5;49.2;18.5;25.6;72.3;10.3;31.3;41.6;19.2;6.1;4.7;15.3;19.4;100.7;24;24.5;0.268292683;0.731707317;0.304878049;0.695121951;-6.21;0.45;105.0;111.4;95.3;311;264;53.9;50;14.0;23.8;225;52.1;12.2;73.4;196;FedEx Forum;523.578;0
17-18;Memphis Grizzlies;82;240.3;36.7;82.8;44.4;9.2;26.2;35.2;27.5;56.5;48.6;16.6;21.1;78.6;9.5;31.0;40.5;21.5;7.5;4.8;15.0;23.2;99.3;27;26.0;0.268292683;0.731707317;0.304878049;0.695121951;-6.21;0.39;104.5;111.0;94.9;255;317;53.9;50;14.0;22.4;201;52.9;13.8;76.5;256;FedEx Forum;653.863;0
12-13;Memphis Grizzlies*;82;241.5;36.1;81.5;44.4;4.7;13.5;34.5;31.5;68.0;46.3;16.5;21.3;77.3;12.9;29.8;42.7;20.9;8.6;5.3;14.0;20.2;93.4;7;27.0;0.682926829;0.317073171;0.658536585;0.341463415;4.15;0.18;104.9;100.3;88.4;261;166;51.4;47.2;13.3;31.0;202;47.5;15.2;74.3;209;FedEx Forum;681.613;0
14-15;Memphis Grizzlies*;82;242.7;37.8;82.5;45.8;5.2;15.2;33.9;32.6;67.3;48.5;17.6;22.8;77.3;10.4;32.1;42.6;21.7;8.5;4.2;13.3;19.1;98.3;8;29.6;0.670731707;0.329268293;0.609756098;0.390243902;3.24;0.38;105.7;102.2;92.0;276;184;53.1;48.9;12.6;24.7;214;49.2;14.5;75.3;183;FedEx Forum;710.502;0
11-12;Memphis Grizzlies*;66;241.5;36.7;82.2;44.7;4.2;12.9;32.6;32.5;69.3;47;17.3;22.8;75.9;12.6;29.5;42.0;19.5;9.6;5.2;14.5;19.9;95.0;12;25.6;0.621212121;0.378787879;0.575757576;0.424242424;02.02;0.42;104.0;101.8;90.8;277;157;51.5;47.3;13.6;29.8;211;48.5;16.3;72.7;227;FedEx Forum;518.446;0
03-04;Memphis Grizzlies*;82;242.4;36.1;81.2;44.5;5.5;16.0;34;30.7;65.2;47.1;19.0;26.1;72.7;12.8;29.0;41.8;23.4;9.7;6.9;15.0;23.2;96.7;9;26.0;0.609756098;0.390243902;0.585365854;0.414634146;2.44;0.52;104.8;102.2;91.4;322;197;52.2;47.9;13.9;29.5;234;46.5;15.7;68.4;251;Pyramid Arena;622.723;0
13-14;Memphis Grizzlies*;82;241.5;38.1;82.0;46.4;4.9;14.0;35.3;33.1;68.0;48.7;15.1;20.3;74.1;11.6;30.8;42.4;21.9;7.7;4.6;13.7;19.1;96.1;14;28.5;0.609756098;0.390243902;0.56097561;0.43902439;1.57;0.61;106.3;104.6;89.9;248;171;52.9;49.4;13.1;28.3;184;49.7;13.8;75.7;199;FedEx Forum;685.458;0
05-06;Memphis Grizzlies*;82;242.1;33.5;74.7;44.8;7.2;19.2;37.4;26.3;55.5;47.4;18.0;25.3;71.1;10.2;29.0;39.2;19.3;7.3;5.4;13.8;21.4;92.2;5;28.1;0.597560976;0.402439024;0.634146341;0.365853659;3.70;0.05;105.9;101.6;86.3;339;258;53.7;49.6;13.9;25.8;241;46.9;14.7;72.0;237;FedEx Forum;647.533;0
10-11;Memphis Grizzlies*;82;242.4;39.0;82.9;47.1;3.8;11.3;33.4;35.3;71.6;49.2;18.1;24.2;75;11.8;29.2;41.0;20.6;9.4;5.4;14.0;20.8;99.9;10;25.2;0.56097561;0.43902439;0.585365854;0.414634146;2.34;0.20;107.6;105.1;91.9;291;136;53.4;49.3;13.0;28.9;218;50.2;15.7;72.5;228;FedEx Forum;600.687;0
04-05;Memphis Grizzlies*;82;240.3;34.2;76.5;44.7;6.5;18.1;35.7;27.7;58.4;47.5;18.6;24.7;75.4;10.8;28.1;39.0;20.9;8.5;5.8;14.6;23.3;93.4;8;26.3;0.548780488;0.451219512;0.585365854;0.414634146;2.29;0.34;105.5;102.9;88.5;323;237;53.5;48.9;14.3;27.1;243;46.6;15.4;69.9;270;FedEx Forum;691.362;0
20-21;Memphis Grizzlies*;72;241.7;42.8;91.8;46.7;11.2;31.4;35.6;31.7;60.4;52.5;16.4;21.3;77.1;11.2;35.3;46.5;26.9;9.1;5.1;13.3;18.7;113.3;15;24.2;0.527777778;0.472222222;0.527777778;0.472222222;01.03;0.04;112.0;111.0;100.4;232;342;56;52.8;11.6;24.2;179;53.5;13.1;78.3;196;FedEx Forum;61.449;0
16-17;Memphis Grizzlies*;82;242.7;36.4;83.6;43.5;9.4;26.5;35.4;27.0;57.1;47.3;18.3;23.4;78.4;10.8;32.0;42.8;21.3;8.0;4.2;12.9;22.4;100.5;12;29.5;0.524390244;0.475609756;0.512195122;0.487804878;0.49;0.47;107.7;107.1;92.3;280;316;53.5;49.1;12.1;24.8;219;50.6;13.6;77.5;256;FedEx Forum;677.314;0
15-16;Memphis Grizzlies*;82;241.8;36.8;83.6;44;6.1;18.5;33.1;30.7;65.1;47.1;19.3;24.7;78.3;11.2;30.5;41.6;20.7;8.8;4.3;13.3;21.7;99.1;21;30.5;0.512195122;0.487804878;0.426829268;0.573170732;-2.24;0.11;105.4;107.8;93.3;295;222;52.4;47.7;12.3;25.3;231;51.8;15.2;75.1;251;FedEx Forum;701.894;0
21-22;Miami Heat;82;242.1;39.6;84.8;46.7;13.6;35.8;37.9;26;49;53.1;17.3;21.4;80.8;9.8;33.9;43.7;25.5;7.4;3.2;14.6;20.5;110;6;28.2;0.646341463;0.353658537;0.646341463;0.353658537;4.45;-0.22;113.7;109.1;95.9;252;422;58.4;54.7;13.4;23.5;204;52.4;13.8;78;209;FTX Arena;804,761;0
16-17;Miami Heat;82;241.2;39.0;85.8;45.5;9.9;27.0;36.5;29.2;58.8;49.6;15.2;21.6;70.6;10.6;33.0;43.6;21.2;7.2;5.7;13.4;20.5;103.2;10;26.5;0.5;0.5;0.536585366;0.463414634;01.06;-0.29;107.8;106.7;95.2;251;314;54.1;51.2;12.4;24.2;177;49.6;12.6;76.4;220;AmericanAirlines Arena;805.4;0
