YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
88-89;Boston Celtics*;82;241.2;42.9;87.1;49.3;1.0;3.8;25.2;42.0;83.3;50.4;22.4;28.6;78.3;14.4;29.8;44.2;26.7;7.8;5.1;16.3;22.9;109.2;14;28.5;0.512195122;0.487804878;0.536585366;0.463414634;1.16;0.10;110.8;109.6;98.1;329;43;54.8;49.8;14.0;34.7;258;49.3;12.7;70.0;248;Boston Garden;611.537;0
12-13;Boston Celtics*;81;244.9;37.0;79.7;46.5;6.1;17.2;35.8;30.9;62.6;49.4;16.3;21.0;77.6;8.1;31.3;39.3;22.8;8.2;4.5;14.6;21.2;96.5;16;29.1;0.50617284;0.49382716;0.49382716;0.50617284;-0.22;-0.40;103.1;103.3;91.7;263;215;54.2;50.3;14.1;20.1;204;48.2;14.2;73.3;216;TD Garden;744.96;0
20-21;Boston Celtics*;72;241.4;41.5;88.9;46.6;13.6;36.4;37.4;27.9;52.5;53;16.1;20.8;77.5;10.6;33.6;44.3;23.5;7.7;5.3;14.1;20.4;112.6;13;25.1;0.5;0.5;0.541666667;0.458333333;1.46;-0.14;114.0;112.5;98.3;234;409;57.4;54.3;12.5;24.3;181;53.9;12.8;78.1;215;TD Garden;30.067;0
14-15;Boston Celtics*;82;242.4;38.9;87.9;44.3;8.0;24.6;32.7;30.9;63.3;48.8;15.4;20.5;75.4;11.1;32.7;43.8;24.5;8.2;3.6;13.8;21.2;101.4;18;25.0;0.487804878;0.512195122;0.5;0.5;0.16;-0.56;104.7;104.5;95.8;233;280;52.3;48.9;12.5;24.7;176;49.4;13.7;75.0;208;TD Garden;721.35;0
03-04;Boston Celtics*;82;240.3;34.7;78.2;44.3;6.7;19.5;34.6;27.9;58.7;47.5;19.2;25.5;75;10.4;29.8;40.1;20.5;9.4;4.0;16.2;22.4;95.3;19;26.4;0.43902439;0.56097561;0.451219512;0.548780488;-1.45;-0.54;102.1;103.7;93.2;327;249;53.2;48.6;15.4;25.2;245;47.9;15.7;69.5;240;FleetCenter;664.248;0
94-95;Boston Celtics*;82;241.5;38.8;83.5;46.4;4.4;12.0;36.8;34.4;71.5;48;20.8;27.7;75.3;14.1;28.3;42.4;21.7;7.5;4.4;15.9;24.1;102.8;18;27.2;0.426829268;0.573170732;0.43902439;0.56097561;-1.88;-0.04;108.6;110.6;94.0;331;144;53.7;49.1;14.3;33.1;249;51.2;13.6;68.6;235;Boston Garden;606.07;0
21-22;Brooklyn Nets;82;240.9;42;88.4;47.5;11.5;31.7;36.1;30.5;56.7;53.8;17.5;21.7;80.5;10.3;34.1;44.4;25.3;7.1;5.5;14.1;20.4;112.9;15;29.1;0.536585366;0.463414634;0.524390244;0.475609756;0.78;0.04;113.6;112.8;99;246;359;57.6;54;12.5;23.9;198;52.1;11.7;75.1;201;Barclays Center;711,539;0
17-18;Brooklyn Nets;82;242.1;38.2;86.8;44.1;12.7;35.7;35.6;25.5;51.1;50;17.4;22.6;77.2;9.7;34.8;44.4;23.7;6.2;4.8;15.2;20.6;106.6;24;25.1;0.341463415;0.658536585;0.37804878;0.62195122;-3.74;0.07;106.9;110.6;98.9;260;411;55.1;51.4;13.6;21.0;201;51.7;11.0;77.0;201;Barclays Center;640.01;0
15-16;Brooklyn Nets;82;240.9;38.2;84.4;45.3;6.5;18.4;35.2;31.8;66.0;48.1;15.7;20.7;75.7;10.5;31.9;42.4;22.3;7.6;4.0;14.8;18.0;98.6;28;26.9;0.256097561;0.743902439;0.268292683;0.731707317;-7.35;0.24;103.2;110.9;95.2;246;218;52.7;49.2;13.6;24.1;186;53.4;13.1;75.7;176;Barclays Center;620.142;0
16-17;Brooklyn Nets;82;240.9;37.8;85.2;44.4;10.7;31.6;33.8;27.1;53.6;50.6;19.4;24.6;78.8;8.8;35.1;43.9;21.4;7.2;4.7;16.5;21.0;105.8;28;26.0;0.243902439;0.756097561;0.292682927;0.707317073;-6.73;-0.01;104.1;110.7;101.3;289;371;55.1;50.7;14.7;19.6;228;51.3;11.6;76.1;212;Barclays Center;632.608;0
